activation_composition,architecture,mean_test_accuracy,std_test_accuracy,best_test_accuracy,n_trials,epochs,batch_size
"(('relu', 'relu', 'relu', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'tanh'))","[6, 6]",0.8925799999999999,0.013799913043204319,0.905,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'tanh'))","[5, 7]",0.85784,0.04631119087218551,0.8931,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'softplus'), ('softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8995799999999999,0.008805089437365184,0.9065,5,10,128
"(('relu', 'relu', 'relu', 'tanh', 'tanh'), ('softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8545,0.043366899820024035,0.8967,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.87828,0.01977588430386869,0.8963,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'), ('relu', 'relu', 'softplus', 'softplus', 'softplus'))","[7, 5]",0.89672,0.009051055187103882,0.91,5,10,128
"(('relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8903000000000001,0.008047856857573941,0.8969,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus'))","[7, 5]",0.8871800000000001,0.018985194231295063,0.9054,5,10,128
"(('softplus', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'))","[5, 7]",0.8815799999999999,0.01033409889637212,0.8914,5,10,128
"(('relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'))","[6, 6]",0.89252,0.012222503835139521,0.9068,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('relu', 'relu', 'softplus', 'softplus', 'tanh'))","[7, 5]",0.89262,0.0056318380658538095,0.9032,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'))","[7, 5]",0.8999,0.005402591970526754,0.9059,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus'))","[7, 5]",0.90282,0.005450651337225686,0.9092,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'), ('relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.87996,0.0047174569420398264,0.8883,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh', 'tanh'), ('relu', 'relu', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.9007200000000001,0.004726690173895492,0.9051,5,10,128
"(('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'softplus', 'softplus'))","[5, 7]",0.8798600000000001,0.008696344059430934,0.8935,5,10,128
"(('leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus'))","[7, 5]",0.8913,0.00631537805677536,0.8993,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'softplus'))","[7, 5]",0.89796,0.011563840192600403,0.9161,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh'), ('softplus', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.87518,0.007217035402435005,0.889,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh', 'tanh'))","[6, 6]",0.8934799999999999,0.008989415998828854,0.901,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'))","[7, 5]",0.89316,0.004297254937748039,0.8973,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[6, 6]",0.89054,0.010022494699424903,0.8989,5,10,128
"(('relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8728999999999999,0.011633228270776763,0.8905,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'), ('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88308,0.007087002187102805,0.8949,5,10,128
"(('leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'tanh', 'tanh'))","[5, 7]",0.87538,0.009285558680014905,0.8921,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'softplus', 'tanh'))","[7, 5]",0.8795200000000001,0.019102397755255733,0.9026,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'softplus', 'softplus'))","[6, 6]",0.8950199999999999,0.010324030220800405,0.9046,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'tanh'))","[7, 5]",0.8935599999999999,0.009197738852565886,0.9071,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8736,0.005734457254178446,0.8811,5,10,128
"(('leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'softplus', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.8943399999999999,0.01043045540712389,0.9047,5,10,128
"(('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.89178,0.013777430820004143,0.9008,5,10,128
"(('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('relu', 'relu', 'softplus', 'softplus', 'softplus', 'tanh'))","[6, 6]",0.89826,0.0035629201506629463,0.9024,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus'), ('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'tanh'))","[5, 7]",0.88398,0.008222505700818932,0.8934,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'))","[7, 5]",0.8935599999999999,0.008446206248961727,0.9069,5,10,128
"(('relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'softplus', 'tanh'))","[7, 5]",0.8819799999999999,0.009286420192948423,0.8951,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'relu', 'relu', 'relu', 'softplus', 'softplus'))","[6, 6]",0.9004199999999999,0.008874547875807512,0.9078,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88588,0.0072433141585879135,0.8941,5,10,128
"(('relu', 'relu', 'relu', 'softplus', 'softplus'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.88636,0.005788125776104056,0.8969,5,10,128
"(('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu'))","[7, 5]",0.9012,0.005994330654877151,0.9069,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu'), ('relu', 'relu', 'relu', 'relu', 'relu', 'relu'))","[6, 6]",0.90168,0.006824485328579724,0.9072,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'relu', 'relu'))","[5, 7]",0.87454,0.00593922553873822,0.8827,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'relu'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh', 'tanh'))","[5, 7]",0.8840600000000001,0.014497668778117366,0.8946,5,10,128
"(('relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.8916000000000001,0.004416786161905501,0.8956,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh'))","[7, 5]",0.8956799999999999,0.004884014741992524,0.9038,5,10,128
"(('relu', 'relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('relu', 'softplus', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8954000000000001,0.009868738521209263,0.9057,5,10,128
"(('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8912600000000002,0.0043297113067732465,0.8968,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'tanh'))","[5, 7]",0.8896000000000001,0.004691694789732182,0.8954,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'))","[7, 5]",0.88778,0.014542406953458572,0.907,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'tanh', 'tanh'))","[5, 7]",0.8802199999999999,0.007231984513257741,0.8901,5,10,128
"(('softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu'))","[6, 6]",0.8955400000000001,0.018040022172935367,0.9105,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8864600000000001,0.009964657545545662,0.8948,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu'))","[7, 5]",0.88278,0.024926162961835908,0.9084,5,10,128
"(('relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88186,0.006377648469459589,0.8911,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.87822,0.009686155067930724,0.8885,5,10,128
"(('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8852800000000001,0.006737180419136789,0.898,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'tanh'), ('relu', 'softplus', 'softplus', 'softplus', 'softplus'))","[7, 5]",0.8906599999999999,0.016801023778329705,0.9091,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh'), ('softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.9007400000000001,0.0050803936855326436,0.9087,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8930000000000001,0.010351618230982063,0.9079,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'relu', 'relu'))","[5, 7]",0.8877200000000001,0.008707559933758723,0.901,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'))","[7, 5]",0.8865999999999999,0.01511132025999053,0.9083,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'relu'), ('relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.89718,0.007594050302704085,0.9089,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'))","[5, 7]",0.88498,0.018507014886253278,0.8987,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.89002,0.007358097580217302,0.8954,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88928,0.002631653472628938,0.8945,5,10,128
"(('relu', 'relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'))","[7, 5]",0.8924199999999999,0.01194912549101397,0.9065,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh'))","[7, 5]",0.8977,0.013883227290511384,0.9118,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.89634,0.003773380447291245,0.9016,5,10,128
"(('relu', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8938400000000002,0.006930396814035972,0.9005,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'))","[6, 6]",0.89116,0.0076222306446341636,0.904,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh'), ('relu', 'softplus', 'softplus', 'softplus', 'tanh'))","[7, 5]",0.8805200000000001,0.014535253695756428,0.8989,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.8903399999999999,0.005484742473443966,0.8963,5,10,128
"(('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'softplus'))","[6, 6]",0.89704,0.0063212656960453684,0.9039,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8840199999999999,0.015688900535091664,0.9062,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus'))","[7, 5]",0.8964000000000001,0.010157755657624381,0.9115,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'))","[6, 6]",0.8994,0.00471465799395882,0.9086,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.88942,0.005085430168628809,0.8952,5,10,128
"(('softplus', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'))","[5, 7]",0.88788,0.004727113284024435,0.8928,5,10,128
"(('softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.8821999999999999,0.012592855117089219,0.896,5,10,128
"(('relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus'))","[6, 6]",0.88802,0.011118884836169499,0.9054,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'softplus'))","[5, 7]",0.88048,0.010348217237766128,0.8938,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'softplus', 'tanh'))","[7, 5]",0.8911800000000001,0.008397952131323414,0.9007,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'), ('leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.88222,0.00699897135299181,0.8908,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus'), ('softplus', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.87348,0.021236704075727003,0.891,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8825399999999999,0.013038343453061815,0.8992,5,10,128
"(('leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.8789800000000001,0.004807660553741271,0.8833,5,10,128
"(('softplus', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8800399999999999,0.010232028146951141,0.895,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'), ('softplus', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8849,0.0076409423502602014,0.8965,5,10,128
"(('softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'))","[7, 5]",0.8959800000000001,0.006727674189495218,0.9031,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8929,0.005898135298549861,0.8983,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'relu', 'softplus'))","[5, 7]",0.8926999999999999,0.005687881855313107,0.9008,5,10,128
"(('leaky_relu', 'relu', 'relu', 'softplus', 'softplus'), ('relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88344,0.006722678037806069,0.8919,5,10,128
"(('relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'relu', 'relu'))","[5, 7]",0.8830199999999999,0.010152713922887793,0.8964,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.8824800000000002,0.007062407521518412,0.8936,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.8946999999999999,0.0054699177324709445,0.9012,5,10,128
"(('softplus', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88384,0.0021629609335353235,0.8874,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'relu'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh'))","[6, 6]",0.8913,0.010311159003720191,0.9024,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'), ('leaky_relu', 'relu', 'relu', 'relu', 'softplus'))","[7, 5]",0.8872399999999999,0.013033280477301165,0.897,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'softplus', 'softplus'), ('relu', 'relu', 'relu', 'relu', 'tanh'))","[7, 5]",0.89596,0.010225184594910765,0.9098,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'))","[6, 6]",0.88116,0.014646856317995333,0.8989,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8857000000000002,0.00461215784638816,0.8922,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus'), ('relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.90184,0.003106509295012671,0.9062,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'softplus', 'tanh'), ('softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[7, 5]",0.89846,0.00867861740140676,0.9078,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.87876,0.006774540574828664,0.8901,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'))","[6, 6]",0.88728,0.006440310551518478,0.895,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'relu', 'softplus', 'tanh'))","[5, 7]",0.87442,0.01993493416091458,0.8953,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'softplus'), ('relu', 'relu', 'softplus', 'softplus', 'softplus', 'tanh'))","[6, 6]",0.88992,0.011600068965312231,0.9041,5,10,128
"(('tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu'))","[5, 7]",0.88168,0.009394977381558726,0.8939,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'tanh', 'tanh'), ('leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.89384,0.011255149932364315,0.9051,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'relu', 'tanh'))","[6, 6]",0.8979000000000001,0.008024213357083667,0.9056,5,10,128
"(('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8806200000000001,0.006804233975988795,0.894,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus'), ('relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8802199999999999,0.004502177251064196,0.8861,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'softplus'), ('relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88872,0.004192564847441228,0.8955,5,10,128
"(('relu', 'relu', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu'))","[5, 7]",0.8718199999999999,0.016383455069062816,0.8872,5,10,128
"(('relu', 'relu', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8794000000000001,0.016228863176452012,0.9008,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'softplus', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.8949400000000001,0.005166662365589606,0.901,5,10,128
"(('tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'))","[5, 7]",0.8845600000000001,0.005341385588028626,0.8932,5,10,128
"(('leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'))","[7, 5]",0.8905200000000001,0.009177886466937816,0.9019,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'tanh'), ('leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.88616,0.019622089593109085,0.901,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'tanh'))","[5, 7]",0.88028,0.013516123704672107,0.8926,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh'), ('relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.8941399999999999,0.007816546552026654,0.9005,5,10,128
