activation_composition,architecture,mean_test_accuracy,std_test_accuracy,best_test_accuracy,n_trials,epochs,batch_size
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.90066,0.004457173992565231,0.9064,5,10,128
"(('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.8934799999999999,0.005569344665218705,0.9019,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'softplus', 'tanh'))","[6, 6]",0.8978000000000002,0.0027151427218472268,0.9008,5,10,128
"(('leaky_relu', 'relu', 'relu', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh'))","[5, 7]",0.8759600000000001,0.010916519591884602,0.8875,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'tanh', 'tanh'))","[5, 7]",0.8914,0.0025892083732291676,0.8939,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8898999999999999,0.01015952754807035,0.9049,5,10,128
"(('relu', 'relu', 'relu', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8748400000000001,0.016089325653985645,0.8991,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.8868599999999999,0.013874955855785624,0.9068,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.88316,0.015250127868316393,0.8982,5,10,128
"(('softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.89828,0.0014246403054806788,0.9001,5,10,128
"(('relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'softplus'))","[5, 7]",0.88954,0.006904375424323331,0.9001,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'softplus'), ('tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8974599999999999,0.0058517006075157535,0.9022,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8872,0.008932636788765111,0.895,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'relu'))","[7, 5]",0.8976000000000001,0.011843985815594335,0.9093,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh'))","[5, 7]",0.8842399999999999,0.01715232928788388,0.9036,5,10,128
"(('leaky_relu', 'relu', 'relu', 'tanh', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.87478,0.008576805932280374,0.8846,5,10,128
"(('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8843,0.006001333185218123,0.8908,5,10,128
"(('relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('softplus', 'softplus', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.89826,0.0042734529364437624,0.9055,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh'))","[7, 5]",0.8954000000000001,0.01492152807188325,0.9098,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh'), ('relu', 'softplus', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8824799999999999,0.015659552994897397,0.9007,5,10,128
